"source";"target";"weight";"type"
"4562356";"61116";"1.0000000924660868";"undirected"
"4562356";"290791";"1.0000001709006214";"undirected"
"327794";"161730";"1.0000028383489323";"undirected"
"327794";"114541";"1.0000002027760653";"undirected"
"25719";"290791";"1.0000000726153297";"undirected"
"1420429";"1299317";"1.0000000143205983";"undirected"
"1420429";"1738096";"1.0000009887967352";"undirected"
"1420429";"57756";"1.0000001258586153";"undirected"
"1420429";"53670";"1.0000003170422707";"undirected"
"1420429";"37036";"1.0000007693292532";"undirected"
"1420429";"890529";"1.0000000411871999";"undirected"
"1420429";"2096783";"1.000000381523467";"undirected"
"1420429";"61116";"1.0000000763329746";"undirected"
"1420429";"145342";"1.0000001318060778";"undirected"
"1420429";"161730";"1.0000000695903668";"undirected"
"1420429";"715482";"1.0000000574463903";"undirected"
"1420429";"51156";"1.0000001513711023";"undirected"
"1420429";"43993";"1.000000128739905";"undirected"
"1420429";"2786";"1.0000671402312495";"undirected"
"1420429";"290791";"1.000007372845544";"undirected"
"1420429";"51435";"1.0000002376302255";"undirected"
"1420429";"918498";"1.0000001405134746";"undirected"
"1420429";"1109508";"1.0000059458275";"undirected"
"1420429";"795401";"1.0000007136818374";"undirected"
"1420429";"1260842";"1.000000053174547";"undirected"
"1420429";"14113";"1.0000095460267313";"undirected"
"1420429";"192039";"1.0000003323548068";"undirected"
"1420429";"68141";"1.0000001162781236";"undirected"
"1420429";"445253";"1.00005342696919";"undirected"
"1420429";"175690";"1.0000000821917943";"undirected"
"1420429";"524611";"1.0000000177230768";"undirected"
"1420429";"114541";"1.0000001409143127";"undirected"
"2344609";"290791";"1.0000015989226303";"undirected"
"389766";"53670";"1.0000000482438456";"undirected"
"1206901";"61116";"1.0000072310333643";"undirected"
"1206901";"715482";"1.0000010692768428";"undirected"
"1206901";"290791";"1.000123898733016";"undirected"
"1206901";"918498";"1.0000001278487172";"undirected"
"1206901";"14113";"1.0003746858455906";"undirected"
"1299317";"57756";"1.0000030047773227";"undirected"
"1299317";"53670";"1.000000069525659";"undirected"
"1299317";"61116";"1.0000000270677072";"undirected"
"1299317";"145342";"1.0000743904960545";"undirected"
"1299317";"106688";"1.0000015623752947";"undirected"
"1299317";"161730";"1.0000019707220438";"undirected"
"1299317";"715482";"1.0000117851467805";"undirected"
"1299317";"43993";"1.000004017739347";"undirected"
"1299317";"1582553";"1.0000848191779022";"undirected"
"1299317";"111077";"1.0000013279130577";"undirected"
"1299317";"290791";"1.000002449673055";"undirected"
"1299317";"918498";"1.000002920571364";"undirected"
"1299317";"14113";"1.0000000836988454";"undirected"
"1299317";"1787468";"1.0000013517852309";"undirected"
"1299317";"1712449";"1.000000220091056";"undirected"
"1299317";"175690";"1.000072657050142";"undirected"
"1299317";"524611";"1.0000001086107737";"undirected"
"1299317";"31342";"1.0000000515017413";"undirected"
"67973";"290791";"1.000011596433387";"undirected"
"1738096";"53670";"1.0000000350059355";"undirected"
"1738096";"890529";"1.0000000519099592";"undirected"
"1738096";"61116";"1.0000000365194186";"undirected"
"1738096";"39885";"1.000000045145989";"undirected"
"1738096";"715482";"1.000000004526066";"undirected"
"1738096";"333278";"1.000046008246244";"undirected"
"1738096";"290791";"1.000000036137098";"undirected"
"1738096";"51435";"1.0000000939135352";"undirected"
"1738096";"918498";"1.0000000063579808";"undirected"
"1738096";"1109508";"1.0000001969735144";"undirected"
"1738096";"13314";"1.0000000602045356";"undirected"
"1738096";"1260842";"1.00000020874908";"undirected"
"1738096";"14113";"1.0000000007188135";"undirected"
"1738096";"68141";"1.0000000056335543";"undirected"
"1738096";"1787468";"1.0000000757002405";"undirected"
"1738096";"524611";"1.0000000453922118";"undirected"
"1738096";"3755588";"1.0000000363829895";"undirected"
"1738096";"114541";"1.0000000264704727";"undirected"
"1738096";"31342";"1.0000001661571665";"undirected"
"323997";"61116";"1.0000003155279937";"undirected"
"323997";"161730";"1.000004167133154";"undirected"
"323997";"290791";"1.000000252383526";"undirected"
"323997";"14113";"1.000000821935368";"undirected"
"323997";"68141";"1.0000001779356138";"undirected"
"323997";"31342";"1.0000015742126576";"undirected"
"57756";"61116";"1.0000003155803816";"undirected"
"57756";"715482";"1.0000006327109672";"undirected"
"57756";"581353";"1.0000241485194317";"undirected"
"57756";"290791";"1.000003122120576";"undirected"
"57756";"14113";"1.00000012068083";"undirected"
"57756";"1787468";"1.000000352106229";"undirected"
"57756";"114541";"1.0000003704200906";"undirected"
"269976";"62392";"1.0001787351931724";"undirected"
"269976";"290791";"1.0000001971252126";"undirected"
"283033";"62392";"1.00008992420674";"undirected"
"283033";"524611";"1.0000001576705375";"undirected"
"21920";"61116";"1.0000001064120434";"undirected"
"21920";"290791";"1.0000000133856646";"undirected"
"21920";"68141";"1.0000001522228184";"undirected"
"53670";"2546062";"1.0000039875282387";"undirected"
"53670";"27305";"1.0000133331555578";"undirected"
"53670";"2096783";"1.0000001905224603";"undirected"
"53670";"61116";"1.0000259424844775";"undirected"
"53670";"161730";"1.0000065208845301";"undirected"
"53670";"39367";"1.0000062326187844";"undirected"
"53670";"715482";"1.000006095235374";"undirected"
"53670";"88275";"1.0000184850429046";"undirected"
"53670";"51156";"1.0000056486957662";"undirected"
"53670";"48089";"1.0000030127305946";"undirected"
"53670";"581353";"1.0000475116394718";"undirected"
"53670";"1582553";"1.0004575298825062";"undirected"
"53670";"108260";"1.0000237450611509";"undirected"
"53670";"290791";"1.0000225621888936";"undirected"
"53670";"918498";"1.0001113387437826";"undirected"
"53670";"45556";"1.000002112335033";"undirected"
"53670";"1109508";"1.0000364359852065";"undirected"
"53670";"35336";"1.0001453381340133";"undirected"
"53670";"14113";"1.0000036721196475";"undirected"
"53670";"192039";"1.000231648511049";"undirected"
"53670";"68141";"1.0003834210857934";"undirected"
"53670";"1787468";"1.0000053421626955";"undirected"
"53670";"175690";"1.0000263093327848";"undirected"
"53670";"114541";"1.0000160944270318";"undirected"
"53670";"31342";"1.0000139363406217";"undirected"
"2546062";"61116";"1.0000000303073786";"undirected"
"2546062";"290791";"1.0000000227408872";"undirected"
"2546062";"2847006";"1.0000000928888046";"undirected"
"2546062";"13314";"1.000000002941446";"undirected"
"2546062";"1260842";"1.0000000037771064";"undirected"
"2546062";"2149370";"1.0000000299267344";"undirected"
"2546062";"14113";"1.0000000015804575";"undirected"
"2546062";"524611";"1.0000000283600776";"undirected"
"27305";"61116";"1.0000000790692425";"undirected"
"27305";"290791";"1.0000007971776597";"undirected"
"27305";"14113";"1.0000000105825393";"undirected"
"27305";"121134";"1.0000359451611636";"undirected"
"27305";"175690";"1.0000004235659739";"undirected"
"27305";"114541";"1.0000008253876966";"undirected"
"27305";"31342";"1.0000007862595037";"undirected"
"37036";"290791";"1.000005461910736";"undirected"
"37036";"51435";"1.0023280042187037";"undirected"
"37036";"918498";"1.0000006858298065";"undirected"
"37036";"192039";"1.000011370525797";"undirected"
"37036";"175690";"1.00000171563175";"undirected"
"37036";"524611";"1.0000005929197964";"undirected"
"890529";"61116";"1.000023759599969";"undirected"
"890529";"39367";"1.000006948256335";"undirected"
"890529";"715482";"1.000061425878741";"undirected"
"890529";"51156";"1.0000069738897568";"undirected"
"890529";"48089";"1.0001134899494637";"undirected"
"890529";"581353";"1.006317489608933";"undirected"
"890529";"290791";"1.0000547258667123";"undirected"
"890529";"918498";"1.0000785606330682";"undirected"
"890529";"14113";"1.00000062205869";"undirected"
"890529";"192039";"1.0000425785215115";"undirected"
"890529";"1787468";"1.000012644979554";"undirected"
"890529";"114541";"1.0002255343240987";"undirected"
"2096783";"3484388";"1.0000005112980246";"undirected"
"2096783";"61116";"1.000000002873575";"undirected"
"2096783";"290791";"1.0000009453310272";"undirected"
"2096783";"918498";"1.0000000056700302";"undirected"
"2096783";"68141";"1.000000012057534";"undirected"
"2096783";"524611";"1.0000000063706278";"undirected"
"2096783";"31342";"1.0000000254001995";"undirected"
"3484388";"290791";"1.0000000331052177";"undirected"
"62392";"61116";"1.000011600466284";"undirected"
"62392";"715482";"1.000007521028111";"undirected"
"62392";"290791";"1.000000004031936";"undirected"
"62392";"14113";"1.0001155617709838";"undirected"
"62392";"1787468";"1.000003772269187";"undirected"
"1242573";"715482";"1.0001040109273216";"undirected"
"1242573";"290791";"1.0000354622424088";"undirected"
